Trip_ID,Harsh_Acceleration_Count,Harsh_Braking_Count,Sudden_Turn_Count,High_Speed_Count,Avg_Speed,Max_Speed,Avg_Acceleration,Max_Acceleration,Avg_Gyro,Max_Gyro,Driver_ID,Vehicle_ID,Trip_Date,Duration_Min,Distance_KM,Avg_Speed_kmph,Max_Speed_kmph,Risk_Events,Risk_Events_Per_10_Min
T00001,0,0,0,0,28.71875,39.4,1.015942849371013,1.186010539582174,2.626879318044309,5.05419627636284,D01,V01,2026-08-04,16,9.34,28.7,39.4,0,0.0
T00002,1,2,2,3,28.545454545454547,54.4,0.9981214659653616,1.07032004559384,4.626561836212162,36.400853011983116,D01,V01,2026-08-02,22,5.0,28.5,54.4,8,3.6363636363636367
T00003,0,0,2,0,16.900000000000002,32.7,1.0168001188706366,1.1912199628951825,4.699843083707394,38.31371294980428,D01,V01,2026-07-31,27,7.25,16.9,32.7,2,0.7407407407407407
T00004,0,0,3,0,23.90714285714286,40.4,1.004190567676735,1.223474151749844,7.708967822806433,54.095155975373615,D01,V01,2026-07-31,42,9.27,23.9,40.4,3,0.7142857142857142
T00005,0,1,1,2,28.707692307692305,42.5,1.0404150700687913,1.2658645267168205,6.098401847544783,46.65755351494546,D01,V01,2026-08-01,13,7.74,28.7,42.5,4,3.076923076923077
T00006,1,0,2,0,21.726315789473684,33.4,1.0376359515598574,1.1910377827760124,5.227250844770779,40.71288002585914,D01,V01,2026-08-05,19,11.26,21.7,33.4,3,1.5789473684210527
T00007,0,0,0,0,20.033333333333335,38.2,1.0517059681150167,1.1989353610599698,3.610976096774266,6.751570187741515,D01,V01,2026-08-03,15,6.2,20.0,38.2,0,0.0
T00008,1,1,2,0,25.329268292682926,41.7,1.0323590206089621,1.405850632179678,6.52930803927015,50.628053488160106,D01,V01,2026-08-04,41,14.97,25.3,41.7,4,0.975609756097561
T00009,0,0,2,2,23.838709677419356,42.3,1.086552703846149,1.6397326001516224,5.110172455488585,48.700853175278155,D01,V01,2026-08-06,31,17.09,23.8,42.3,4,1.2903225806451613
T00010,2,3,2,3,30.63939393939394,47.5,1.0130179965443091,1.4205565810625074,4.52194448494512,44.39888061652005,D01,V01,2026-08-05,33,16.27,30.6,47.5,10,3.0303030303030303
T00011,0,0,2,0,22.819512195121952,33.9,1.024592244195966,1.3824257665422761,4.339219835634773,52.701459182834775,D01,V01,2026-08-03,41,23.39,22.8,33.9,2,0.4878048780487805
T00012,3,3,0,5,32.11724137931034,45.8,1.011746764435433,1.5039504646097892,3.3775687869988356,9.894311497016858,D01,V01,2026-08-05,29,11.69,32.1,45.8,11,3.793103448275862
T00013,1,2,5,2,28.056756756756755,47.0,1.0078956213582564,1.2593482441326544,6.810928980477781,52.43196925540753,D01,V01,2026-08-01,37,14.92,28.1,47.0,10,2.7027027027027026
T00014,1,1,4,1,29.508333333333336,45.0,1.0262390480409938,1.1274945676144077,7.264724001023139,49.80862977436741,D01,V01,2026-08-05,24,16.29,29.5,45.0,7,2.916666666666667
T00015,1,1,4,1,19.875675675675677,47.2,1.0283074821275564,1.2349518209225814,5.918455264219544,50.654730282570846,D01,V01,2026-08-01,37,14.69,19.9,47.2,7,1.891891891891892
T00016,1,3,2,2,23.092857142857145,44.7,1.1325710053677713,1.7313581374169815,7.315028202127649,41.82192487200942,D02,V02,2026-08-02,14,6.21,23.1,44.7,8,5.7142857142857135
T00017,2,2,0,0,22.756,38.0,1.0537789164149598,1.3885366397758467,5.427644492458572,34.4402047032244,D02,V02,2026-08-06,25,9.63,22.8,38.0,4,1.6
T00018,0,0,0,0,22.168000000000003,33.7,1.0537890966530141,1.703150609899195,4.504002458902011,25.253209696987035,D02,V02,2026-08-06,25,19.0,22.2,33.7,0,0.0
T00019,1,1,0,0,16.884999999999998,31.5,1.0271155938567655,1.4271278849493483,3.5315977282428848,8.566031753384994,D02,V02,2026-08-01,20,6.61,16.9,31.5,2,1.0
T00020,2,2,0,1,21.711627906976744,44.1,1.0958517548196867,1.78548424804029,4.215979969951618,17.12203550983352,D02,V02,2026-08-05,43,9.39,21.7,44.1,5,1.1627906976744187
T00021,3,2,6,0,18.784444444444443,36.3,1.0184967938342078,1.6733514275250132,6.690252666638946,52.91958144203335,D02,V02,2026-08-01,45,23.92,18.8,36.3,11,2.444444444444444
T00022,0,1,2,0,22.31219512195122,36.9,1.0174957828314606,1.4606115157700217,5.1282002742214425,38.723154571909554,D02,V02,2026-08-02,41,11.6,22.3,36.9,3,0.7317073170731707
T00023,1,2,0,4,26.771428571428572,50.7,1.008604912692706,1.165230020210602,3.0111624625849176,4.99373607632602,D02,V02,2026-08-03,21,15.2,26.8,50.7,7,3.333333333333333
T00024,3,2,0,3,27.542857142857144,50.5,1.0296087187230771,1.7641368994496995,3.9864427660980093,17.802977279095764,D02,V02,2026-08-04,35,16.23,27.5,50.5,8,2.2857142857142856
T00025,0,1,2,0,19.570588235294117,31.9,1.0055761150263134,1.2400923352718538,5.758669508094334,45.51889058402018,D02,V02,2026-08-05,17,7.73,19.6,31.9,3,1.7647058823529413
T00026,0,0,0,1,28.092307692307692,41.9,1.0115938457816893,1.0915992854523129,3.5691402015910865,5.937794203237427,D02,V02,2026-08-02,13,11.49,28.1,41.9,1,0.7692307692307693
T00027,0,1,0,0,21.26842105263158,34.3,1.1092730839444902,1.8132459844157935,4.9080862681505595,16.70800107732819,D02,V02,2026-08-02,19,11.53,21.3,34.3,1,0.5263157894736842
T00028,2,2,4,2,29.327777777777776,50.9,1.0571693960678041,1.3921328959549801,8.654799741477525,50.96417859634354,D02,V02,2026-08-06,18,9.1,29.3,50.9,10,5.555555555555555
T00029,0,1,2,0,17.738636363636363,36.3,1.042665576984164,1.5047089419552206,4.457807374574528,46.02833257896706,D02,V02,2026-08-06,44,14.25,17.7,36.3,3,0.6818181818181818
T00030,0,0,0,0,22.131818181818183,35.1,1.0858367780710345,1.7110160723967498,5.309924425901074,28.968413833000938,D02,V02,2026-08-04,22,10.41,22.1,35.1,0,0.0
T00031,1,0,2,0,14.255555555555556,32.4,1.0294614862985538,1.119841953134459,5.947503577104677,44.120528102007114,D03,V03,2026-08-02,18,9.23,14.3,32.4,3,1.6666666666666665
T00032,4,2,4,0,13.323684210526316,35.6,1.025803803475414,1.233336126122964,6.311434666758875,52.389637334114084,D03,V03,2026-07-31,38,16.21,13.3,35.6,10,2.631578947368421
T00033,1,0,2,3,23.564285714285713,46.6,1.0702815806908883,1.2555445033928507,8.613389156803335,46.7390489847622,D03,V03,2026-08-03,14,8.27,23.6,46.6,6,4.285714285714286
T00034,1,2,1,4,29.818181818181817,58.8,1.0303543814511251,1.1599702582394085,6.697086479564875,51.129190292825875,D03,V03,2026-08-06,22,6.26,29.8,58.8,8,3.6363636363636367
T00035,2,0,0,5,30.546875,54.7,1.0368902674298204,1.262246410175129,4.049594603687612,33.327026570037724,D03,V03,2026-08-03,32,13.38,30.5,54.7,7,2.1875
T00036,1,4,2,2,19.932258064516127,51.2,1.0372005605673627,1.1841397721552973,5.522011285624402,54.57410832986646,D03,V03,2026-08-06,31,19.96,19.9,51.2,9,2.903225806451613
T00037,4,3,2,6,25.37906976744186,68.8,1.02813271459478,1.251519476476495,4.572468178445142,46.07274573975378,D03,V03,2026-08-05,43,18.13,25.4,68.8,15,3.488372093023256
T00038,5,6,0,5,22.025000000000002,52.3,1.018233578713429,1.169466117508327,3.9936064013041106,32.286695402286064,D03,V03,2026-07-31,44,19.77,22.0,52.3,16,3.6363636363636367
T00039,2,3,4,2,22.355999999999998,52.3,1.0168616542713893,1.2707230225348087,7.882012575168183,51.5248017948638,D03,V03,2026-07-31,25,11.92,22.4,52.3,11,4.4
T00040,4,4,2,3,21.806451612903224,49.9,1.049047548860447,1.231839681127378,6.9184362836924915,50.8456389477013,D03,V03,2026-08-06,31,13.65,21.8,49.9,13,4.193548387096774
T00041,1,4,0,3,27.417142857142856,60.1,1.029679941368934,1.223706664196939,3.126528721095188,5.602017493724917,D03,V03,2026-08-03,35,12.38,27.4,60.1,8,2.2857142857142856
T00042,5,6,2,2,21.4625,53.4,1.0202964074029617,1.2164312557641719,4.299358065304892,52.91763978107868,D03,V03,2026-08-04,40,7.88,21.5,53.4,15,3.75
T00043,5,1,2,1,16.351282051282052,47.1,1.0241918340247302,1.177146974680732,5.4475217070881286,46.735243660432545,D03,V03,2026-08-01,39,20.88,16.4,47.1,9,2.307692307692308
T00044,3,2,0,6,32.41111111111111,59.1,1.042267187433185,1.2244088369494888,5.014368074494082,33.5231472269535,D03,V03,2026-08-06,27,9.3,32.4,59.1,11,4.0740740740740735
T00045,5,7,7,3,22.14186046511628,55.4,1.0438763260403061,1.4760745238638868,7.657542839845995,50.590286617096766,D03,V03,2026-08-05,43,13.14,22.1,55.4,22,5.116279069767442
T00046,1,2,0,4,27.977777777777778,48.1,1.0029170335464495,1.1856023785401244,4.017363785619891,31.213913564306544,D04,V04,2026-08-05,45,18.81,28.0,48.1,7,1.5555555555555556
T00047,2,2,2,4,32.381818181818176,50.7,1.0105378184779732,1.117761155166881,4.440458895133281,52.672340939054536,D04,V04,2026-08-05,33,15.2,32.4,50.7,10,3.0303030303030303
T00048,1,1,2,1,23.9125,42.9,1.0215277770065345,1.1679507695104274,4.9705233556052475,50.57668039719491,D04,V04,2026-08-05,32,16.54,23.9,42.9,5,1.5625
T00049,0,1,4,4,29.79375,51.6,1.0206382820545572,1.3085339124378854,6.580323171741992,54.67139379968285,D04,V04,2026-08-02,32,10.78,29.8,51.6,9,2.8125
T00050,0,0,0,0,22.31578947368421,37.6,1.0124790602409224,1.22506897764983,2.8366518150555535,5.235494246009635,D04,V04,2026-07-31,38,10.83,22.3,37.6,0,0.0
T00051,1,0,2,0,15.271052631578947,29.1,1.037980263800708,1.5611358044705785,5.350716418416077,41.24261024717034,D04,V04,2026-08-01,38,12.83,15.3,29.1,3,0.7894736842105263
T00052,0,1,1,0,18.628571428571426,34.8,1.0236393718231505,1.1539696703120061,7.458190320492856,37.045804080894236,D04,V04,2026-08-03,21,7.47,18.6,34.8,2,0.9523809523809523
T00053,1,1,4,0,19.410344827586208,40.6,1.0185296237434016,1.179129339809675,6.142162821693027,46.95580688264232,D04,V04,2026-08-04,29,13.9,19.4,40.6,6,2.0689655172413794
T00054,1,1,2,4,29.747500000000002,50.6,1.0162918784693473,1.1190880215604133,5.834317287635635,52.14023494385119,D04,V04,2026-08-01,40,17.54,29.7,50.6,8,2.0
T00055,2,3,4,3,28.071428571428573,48.8,1.0101394849222773,1.1550177487813769,5.634235016139344,42.32453898154119,D04,V04,2026-08-02,28,13.16,28.1,48.8,12,4.285714285714286
T00056,1,0,4,0,15.95925925925926,32.5,0.9888626070243822,1.071881523303765,6.012290593690512,45.918550717547696,D04,V04,2026-08-04,27,11.73,16.0,32.5,5,1.8518518518518516
T00057,1,1,0,0,28.417241379310347,40.0,1.0216869844314183,1.2101619726301105,3.255770664566137,5.452788277569559,D04,V04,2026-07-31,29,16.38,28.4,40.0,2,0.6896551724137931
T00058,0,0,1,1,25.415,43.6,1.0030481537494675,1.0956121576543407,6.687492414367776,41.88998687037273,D04,V04,2026-08-02,20,9.66,25.4,43.6,2,1.0
T00059,0,0,1,0,26.878125,36.5,1.0037992253433818,1.1235524019822127,6.435968142872806,36.279253024283726,D04,V04,2026-08-03,32,18.54,26.9,36.5,1,0.3125
T00060,2,2,0,1,20.20967741935484,45.7,1.0036310954217436,1.0631288727148744,3.654498074734695,7.6356335689974015,D04,V04,2026-07-31,31,9.64,20.2,45.7,5,1.6129032258064515
T00061,1,1,2,1,33.05714285714286,47.8,1.0063866080761932,1.1031178540845037,3.737050543565355,41.2210977534563,D05,V05,2026-08-05,42,19.04,33.1,47.8,5,1.1904761904761905
T00062,0,0,2,0,23.358536585365854,34.1,0.993322589990292,1.0881066124236174,3.9481713803753795,43.291200029567214,D05,V05,2026-08-04,41,33.4,23.4,34.1,2,0.4878048780487805
T00063,1,0,0,0,18.73111111111111,30.0,1.0052416675677316,1.0737322757559262,3.6995846679665854,32.399953703670626,D05,V05,2026-08-01,45,28.5,18.7,30.0,1,0.22222222222222224
T00064,0,0,2,1,31.734615384615385,42.0,1.0213684695929661,1.2050580898861265,4.6001672679801455,45.50683575024746,D05,V05,2026-08-01,26,17.15,31.7,42.0,3,1.153846153846154
T00065,4,2,0,0,26.488636363636363,37.5,1.0017916837705445,1.0706357924149557,3.356335660190757,6.495205924372221,D05,V05,2026-08-04,44,15.93,26.5,37.5,6,1.3636363636363635
T00066,0,0,0,0,22.113636363636363,30.8,1.0100177430058688,1.0665247301399061,2.951144843152112,6.865427881785664,D05,V05,2026-08-06,22,14.07,22.1,30.8,0,0.0
T00067,2,2,3,0,24.13658536585366,33.0,1.0034465945590674,1.1086938260854526,5.374278843697193,45.485595522099075,D05,V05,2026-08-05,41,12.07,24.1,33.0,7,1.707317073170732
T00068,2,2,1,0,23.788888888888888,34.5,1.0023347931198106,1.0789230741809168,4.679040061488005,45.81520599102442,D05,V05,2026-08-01,27,9.12,23.8,34.5,5,1.8518518518518516
